RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSLC,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,HEIGHT,HORACC,HORCLR,HORLEN,HORWID,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3319,2,2,122,1,550,175421730,1080,02260A74B9220438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3320,2,2,122,1,550,175421745,1080,02260A74B9310438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3321,2,2,122,1,550,175421773,1080,02260A74B94D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3322,2,2,122,1,550,175421788,1080,02260A74B95C0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3323,2,2,122,1,550,175423419,1080,02260A74BFBB0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3324,2,2,122,1,550,175423562,1080,02260A74C04A0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3325,2,2,122,1,550,175423605,1080,02260A74C0750438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3326,2,2,122,1,550,175423778,1080,02260A74C1220438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3327,2,2,122,1,550,175423793,1080,02260A74C1310438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3328,2,2,122,1,550,175423809,1080,02260A74C1410438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3329,2,2,122,1,550,175423839,1080,02260A74C15F0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3330,2,2,122,1,550,175423854,1080,02260A74C16E0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3331,2,2,122,1,550,175423870,1080,02260A74C17E0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3332,2,2,122,1,550,175423885,1080,02260A74C18D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3333,2,2,122,1,550,175423900,1080,02260A74C19C0438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3334,2,2,122,1,550,175423934,1080,02260A74C1BE0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3335,2,2,122,1,550,175448617,1080,02260A7522290438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3336,2,2,122,1,550,175448648,1080,02260A7522480438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3337,2,2,122,1,550,175448680,1080,02260A7522680438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3338,2,2,122,1,550,175448727,1080,02260A7522970438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3339,2,2,122,1,550,175411439,1080,02260A7490EF0438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3340,2,2,122,1,550,175411496,1080,02260A7491280438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3341,2,2,122,1,550,175411732,1080,02260A7492140438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3342,2,2,122,1,550,175411760,1080,02260A7492300438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3343,2,2,122,1,550,175411790,1080,02260A74924E0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3344,2,2,122,1,550,175411803,1080,02260A74925B0438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3345,2,2,122,1,550,175411818,1080,02260A74926A0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3346,2,2,122,1,550,175411833,1080,02260A7492790438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3347,2,2,122,1,550,175411848,1080,02260A7492880438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3348,2,2,122,1,550,175411862,1080,02260A7492960438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3349,2,2,122,1,550,175411890,1080,02260A7492B20438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3350,2,2,122,1,550,175411905,1080,02260A7492C10438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3351,2,2,122,1,550,175411920,1080,02260A7492D00438,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3352,2,2,122,1,550,175411990,1080,02260A7493160438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3353,2,2,122,1,550,175412003,1080,02260A7493230438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3354,2,2,122,1,550,175412072,1080,02260A7493680438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3355,2,2,122,1,550,175412088,1080,02260A7493780438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3356,2,2,122,1,550,175412116,1080,02260A7493940438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
