RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCOA,COLOUR,CONRAD,CONVIS,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
368,2,2,30,1,550,175416070,1080,02260A74A3060438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
369,2,2,30,1,550,175417981,1080,02260A74AA7D0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
370,2,2,30,1,550,175418348,1080,02260A74ABEC0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
371,2,2,30,1,550,175419966,1080,02260A74B23E0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
372,2,2,30,1,550,175423823,1080,02260A74C14F0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
373,2,2,30,1,550,175448211,1080,02260A7520930438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
374,2,2,30,1,550,234665896,1133,02260DFCB7A8046D,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
375,2,2,30,1,550,116254858,1246,022606EDE88A04DE,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
376,2,2,30,1,550,175411524,1080,02260A7491440438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
377,2,2,30,1,550,175411538,1080,02260A7491520438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
378,2,2,30,1,550,175411875,1080,02260A7492A30438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
379,2,2,30,1,550,175412270,1080,02260A74942E0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
380,2,2,30,1,550,175412886,1080,02260A7496960438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
381,2,2,30,1,550,175415272,1080,02260A749FE80438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
382,2,2,30,1,550,175415287,1080,02260A749FF70438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
383,2,2,30,1,550,175415318,1080,02260A74A0160438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
384,2,2,30,1,550,175415441,1080,02260A74A0910438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
385,2,2,30,1,550,175416002,1080,02260A74A2C20438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
386,2,2,30,1,550,175416491,1080,02260A74A4AB0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
387,2,2,30,1,550,175417821,1080,02260A74A9DD0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
