RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,QUASOU,SOUACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
678,2,2,42,1,550,115117521,1287,022606DC8DD10507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
679,2,2,42,1,550,115117524,1287,022606DC8DD40507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
680,2,2,42,1,550,115117527,1287,022606DC8DD70507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
681,2,2,42,1,550,115117531,1287,022606DC8DDB0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
682,2,2,42,1,550,115117534,1287,022606DC8DDE0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
683,2,2,42,1,550,115117537,1287,022606DC8DE10507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
684,2,2,42,1,550,115117540,1287,022606DC8DE40507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
685,2,2,42,1,550,115117543,1287,022606DC8DE70507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
686,2,2,42,1,550,115117546,1287,022606DC8DEA0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
687,2,2,42,1,550,115117549,1287,022606DC8DED0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
688,2,2,42,1,550,115117552,1287,022606DC8DF00507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
689,2,2,42,1,550,115117555,1287,022606DC8DF30507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
690,2,2,42,1,550,115117558,1287,022606DC8DF60507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
691,2,2,42,1,550,115117561,1287,022606DC8DF90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
